ds,y,created_at,updated_at
2024-07-18,177,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-19,171,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-20,181,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-21,184,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-22,163,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-23,181,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-24,190,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-25,167,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-26,159,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-27,184,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-28,186,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-29,163,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-30,174,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-07-31,169,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-01,163,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-02,165,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-03,164,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-04,171,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-05,172,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-06,166,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-07,145,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-08,179,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-09,180,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-10,160,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-11,187,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-12,157,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-13,179,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-14,158,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-15,172,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-16,161,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-17,166,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-18,161,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-19,157,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-20,173,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-21,156,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-22,146,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-23,156,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-24,179,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-25,324,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-26,303,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-27,328,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-28,157,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-29,158,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-30,147,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-08-31,161,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-01,161,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-02,144,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-03,153,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-04,168,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-05,154,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-06,156,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-07,147,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-08,164,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-09,152,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-10,147,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-11,158,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-12,163,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-13,149,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-14,157,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-15,173,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-16,150,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-17,163,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-18,145,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-19,147,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-20,148,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-21,155,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-22,147,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-23,168,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-24,164,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-25,144,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-26,153,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-27,156,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-28,150,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-29,150,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-09-30,153,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-01,142,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-02,136,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-03,151,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-04,138,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-05,160,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-06,158,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-07,154,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-08,144,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-09,124,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-10,142,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-11,128,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-12,130,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-13,151,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-14,150,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-15,150,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-16,141,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-17,137,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-18,159,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-19,126,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-20,135,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-21,128,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-22,142,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-23,142,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-24,123,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-25,126,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-26,140,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-27,128,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-28,132,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-29,146,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-30,130,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-10-31,115,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-01,154,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-02,141,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-03,143,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-04,125,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-05,146,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-06,137,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-07,130,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-08,134,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-09,134,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-10,140,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-11,125,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-12,115,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-13,137,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-14,142,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-15,135,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-16,122,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-17,133,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-18,124,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-19,119,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-20,118,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-21,131,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-22,118,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-23,225,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-24,245,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-25,212,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-26,137,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-27,130,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-28,123,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-29,127,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-11-30,122,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-01,111,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-02,128,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-03,115,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-04,112,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-05,132,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-06,120,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-07,129,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-08,87,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-09,122,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-10,120,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-11,115,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-12,107,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-13,104,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-14,121,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-15,112,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-16,107,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-17,114,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-18,98,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-19,127,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-20,97,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-21,117,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-22,133,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-23,130,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-24,114,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-25,128,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-26,113,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-27,116,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-28,105,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-29,120,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-30,97,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2024-12-31,110,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-01,94,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-02,118,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-03,123,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-04,95,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-05,111,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-06,110,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-07,102,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-08,107,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-09,94,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-10,111,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-11,114,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-12,102,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-13,100,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-14,94,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-15,105,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-16,112,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-17,87,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-18,97,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-19,89,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-20,111,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-21,108,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-22,93,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-23,113,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-24,97,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-25,95,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-26,88,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-27,108,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-28,89,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-29,94,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-30,102,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-01-31,99,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-01,105,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-02,104,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-03,105,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-04,90,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-05,101,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-06,79,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-07,84,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-08,95,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-09,90,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-10,73,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-11,105,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-12,109,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-13,106,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-14,90,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-15,94,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-16,102,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-17,104,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-18,94,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-19,102,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-20,80,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-21,197,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-22,196,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-23,182,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-24,82,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-25,65,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-26,86,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-27,83,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-02-28,79,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-01,89,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-02,77,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-03,76,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-04,67,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-05,77,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-06,73,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-07,106,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-08,83,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-09,74,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-10,88,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-11,76,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-12,72,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-13,74,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-14,71,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-15,89,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-16,76,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-17,79,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-18,77,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-19,55,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-20,80,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-21,58,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-22,93,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-23,69,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-24,65,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-25,72,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-26,83,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-27,79,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-28,79,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-29,67,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-30,85,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-03-31,55,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-01,81,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-02,78,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-03,64,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-04,59,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-05,69,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-06,75,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-07,70,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-08,81,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-09,57,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-10,70,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-11,71,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-12,81,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-13,67,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-14,68,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-15,75,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-16,68,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-17,56,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-18,72,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-19,61,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-20,77,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-21,66,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-22,61,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-23,73,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-24,66,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-25,56,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-26,83,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-27,39,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-28,59,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-29,52,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-04-30,53,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-01,61,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
